GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
728130	0.11881	0.00159	0.2065	-3.157958	-0.6520994	315.76	NUTM2D	NUT family member 2D
653113	0.11881	0.00159	0.1879	-3.1572536	-0.5932368	71.74	FAM86FP	family with sequence similarity 86, member A pseudogene
1050	0.11881	0.00158	0.363	3.1587519	1.1465318	358.34	CEBPA	CCAAT enhancer binding protein alpha
286411	0.11881	0.0016	0.2472	-3.156613	-0.7803155	403.09	LINC00632	long intergenic non-protein coding RNA 632
81704	0.12144	0.00164	0.3078	3.1490962	0.9692494	837.13	DOCK8	dedicator of cytokinesis 8
11309	0.12144	0.00164	0.2023	3.148166	0.6369456	1581.68	SLCO2B1	solute carrier organic anion transporter family member 2B1
55843	0.1215	0.00165	0.2866	3.1466843	0.9018847	92.26	ARHGAP15	Rho GTPase activating protein 15
105369403	0.1215	0.00165	0.234	-3.146112	-0.7361032	32.92	LOC105369403	uncharacterized LOC105369403
23126	0.12366	0.00169	0.1694	-3.1393033	-0.5317319	5857.53	POGZ	pogo transposable element derived with ZNF domain
400798	0.12366	0.0017	0.2354	-3.1390016	-0.7388346	28.08	C1orf220	chromosome 1 putative open reading frame 220
101926977	0.12366	0.0017	0.2171	-3.138125	-0.6814414	36.87	VIRMA-DT	VIRMA divergent transcript
65260	0.12482	0.00173	0.1467	3.1325714	0.4595625	512.96	COA7	cytochrome c oxidase assembly factor 7
386724	0.12482	0.00173	0.1929	-3.1332014	-0.6043477	77.06	AMIGO3	adhesion molecule with Ig like domain 3
105369192	0.12482	0.00173	0.6896	3.1330638	2.1606219	48.07	PPM1K-DT	PPM1K divergent transcript
65005	0.1253	0.00175	0.1046	3.1292652	0.3272216	311.99	MRPL9	mitochondrial ribosomal protein L9
107985851	0.1253	0.00181	0.3212	-3.1190874	-1.0017963	28.81	LOC107985851	
4719	0.1253	0.00176	0.1062	3.1272578	0.3320043	5485.61	NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1
25981	0.1253	0.00179	0.2134	-3.1228015	-0.6662735	1434.44	DNAH1	dynein axonemal heavy chain 1
10333	0.1253	0.00177	0.3259	3.1262783	1.018716	185.08	TLR6	toll like receptor 6
2533	0.1253	0.00181	0.2931	3.1202889	0.9144133	562.27	FYB1	FYN binding protein 1
